"Year","Dam","MedianPassage","Species","MeanMayTemp","arr_GAM_mean"
2018,"McNary",121,"Steelhead",12.6612365591398,102.847666666667
2019,"McNary",109,"Steelhead",12.318561827957,116.796333333333
2020,"McNary",128,"Steelhead",12.3078571428571,100.21
2021,"McNary",121,"Steelhead",12.8317876344086,95.966
2022,"McNary",131,"Steelhead",11.4061290322581,91.1256666666667
2023,"McNary",123,"Steelhead",12.8074327956989,97.1083333333333
2024,"McNary",122,"Steelhead",12.8919892473118,98.578
2000,"McNary",182,"Subyearling Chinook",12.6618842530283,NA
2001,"McNary",183,"Subyearling Chinook",13.3891790040377,NA
2002,"McNary",181,"Subyearling Chinook",11.5752016129032,NA
2003,"McNary",182,"Subyearling Chinook",11.7170325203252,NA
2004,"McNary",181,"Subyearling Chinook",13.0503091397849,NA
2005,"McNary",178,"Subyearling Chinook",12.8442607526882,NA
2006,"McNary",187,"Subyearling Chinook",12.4844623655914,NA
2007,"McNary",187,"Subyearling Chinook",12.513064516129,NA
2008,"McNary",190,"Subyearling Chinook",11.6404838709677,NA
2009,"McNary",187,"Subyearling Chinook",11.7000672043011,NA
2010,"McNary",185,"Subyearling Chinook",11.8256586021505,99.59
2011,"McNary",203,"Subyearling Chinook",10.9204301075269,NA
2012,"McNary",196,"Subyearling Chinook",11.9017377161445,104.617333333333
2013,"McNary",185,"Subyearling Chinook",12.34125,128.081
2014,"McNary",185,"Subyearling Chinook",12.3793682795699,128.746333333333
2015,"McNary",183,"Subyearling Chinook",14.134460916442,90.9853333333333
2016,"McNary",178,"Subyearling Chinook",14.0638978494624,133.132666666667
2017,"McNary",181,"Subyearling Chinook",12.077859916368,140.282
2018,"McNary",175,"Subyearling Chinook",12.6612365591398,102.847666666667
2019,"McNary",173,"Subyearling Chinook",12.318561827957,116.796333333333
2020,"McNary",162,"Subyearling Chinook",12.3078571428571,100.21
2021,"McNary",175,"Subyearling Chinook",12.8317876344086,95.966
2022,"McNary",173,"Subyearling Chinook",11.4061290322581,91.1256666666667
2023,"McNary",163,"Subyearling Chinook",12.8074327956989,97.1083333333333
2024,"McNary",170,"Subyearling Chinook",12.8919892473118,98.578
2000,"McNary",136,"Yearling Chinook",12.6618842530283,NA
2001,"McNary",146,"Yearling Chinook",13.3891790040377,NA
2002,"McNary",137,"Yearling Chinook",11.5752016129032,NA
2003,"McNary",133,"Yearling Chinook",11.7170325203252,NA
2004,"McNary",132,"Yearling Chinook",13.0503091397849,NA
2005,"McNary",135,"Yearling Chinook",12.8442607526882,NA
2006,"McNary",129,"Yearling Chinook",12.4844623655914,NA
2007,"McNary",131,"Yearling Chinook",12.513064516129,NA
2008,"McNary",138,"Yearling Chinook",11.6404838709677,NA
2009,"McNary",135,"Yearling Chinook",11.7000672043011,NA
2010,"McNary",137,"Yearling Chinook",11.8256586021505,99.59
2011,"McNary",129,"Yearling Chinook",10.9204301075269,NA
2012,"McNary",130,"Yearling Chinook",11.9017377161445,104.617333333333
2013,"McNary",131,"Yearling Chinook",12.34125,128.081
2014,"McNary",131,"Yearling Chinook",12.3793682795699,128.746333333333
2015,"McNary",127,"Yearling Chinook",14.134460916442,90.9853333333333
2016,"McNary",124,"Yearling Chinook",14.0638978494624,133.132666666667
2017,"McNary",125,"Yearling Chinook",12.077859916368,140.282
2018,"McNary",129,"Yearling Chinook",12.6612365591398,102.847666666667
2019,"McNary",129,"Yearling Chinook",12.318561827957,116.796333333333
2020,"McNary",130,"Yearling Chinook",12.3078571428571,100.21
2021,"McNary",133,"Yearling Chinook",12.8317876344086,95.966
2022,"McNary",135,"Yearling Chinook",11.4061290322581,91.1256666666667
2023,"McNary",131,"Yearling Chinook",12.8074327956989,97.1083333333333
2024,"McNary",126,"Yearling Chinook",12.8919892473118,98.578
2000,"Rock Island",148,"Coho",10.476198630137,NA
